"ID","articulo","marca","especificaciones","precio","pag_url"
136,"guayos","RUNIC","Guayos Runic Faster Tpu Para Hombre Verde/Negro 9 Verde",179990,"https://www.exito.com/guayos-runic-faster-tpu-para-hombre-verdenegro-104296467-mp/p?color=Verde"
137,"guayos","NIKE","Zapatillas Nike Vapor 16 Club Tf Azul 9 Azul",379990,"https://www.exito.com/zapatillas-nike-vapor-16-club-tf-azul-104296203-mp/p?color=Azul"
138,"guayos","GOLTY","Zapatilla Golty Pro Spectrum Lisa Azul 7 Azul",149990,"https://www.exito.com/zapatilla-golty-pro-spectrum-lisa-azul-104291801-mp/p?color=Azul"
139,"guayos","RUNIC","Guayos Runic Stripe Tpu Adulto Gris/Verde 8 Gris",179990,"https://www.exito.com/guayos-runic-stripe-tpu-adulto-grisverde-104291794-mp/p?color=Gris"
140,"guayos","RUNIC","Guayos Runic Dimond Turf Adulto Negro/Rosa 10 Negro",79990,"https://www.exito.com/guayos-runic-dimond-turf-adulto-negrorosa-104291694-mp/p?color=Negro"
141,"guayos","RUNIC","Guayos Runic Terrox Tpu Para Hombre Negro/Verde 9 Negro",79990,"https://www.exito.com/guayos-runic-terrox-tpu-para-hombre-negroverde-104289480-mp/p?color=Negro"
142,"guayos","RUNIC","Guayos Runic Mist Turf Para Hombre Negro/Verde 10.5 Negro",179990,"https://www.exito.com/guayos-runic-mist-turf-para-hombre-negroverde-104289382-mp/p?color=Negro"
143,"guayos","RUNIC","Guayos Runic Lava Turf Adulto Gris/Verde 10.5 Gris",79990,"https://www.exito.com/guayos-runic-lava-turf-adulto-grisverde-104289316-mp/p?color=Gris"
144,"guayos","RUNIC","Guayos Runic Lava Turf Adulto Negro/Amarillo 10 Negro",79990,"https://www.exito.com/guayos-runic-lava-turf-adulto-negroamarillo-104289304-mp/p?color=Negro"
145,"guayos","RUNIC","Guayos Runic Dalet Tpu Para Hombre Azul/Dorado 8 Azul",79990,"https://www.exito.com/guayos-runic-dalet-tpu-para-hombre-azuldorado-104289158-mp/p?color=Azul"
146,"guayos","NIKE","Zapatillas Nike Lisa Vapor 15 Club Ic Blanco 8.5 Blanco",389990,"https://www.exito.com/zapatillas-nike-lisa-vapor-15-club-ic-blanco-104284918-mp/p?color=Blanco"
147,"guayos","NIKE","Guayos Nike Vapor 15 Club Fg/Mg Amarillo Suave 8.5 Amarillo",364990,"https://www.exito.com/guayos-nike-vapor-15-club-fgmg-amarillo-suave-104284907-mp/p?color=Amarillo"
